,temperature,el_loadprofile,th_loadprofile,heatpump,bev_at_home,bev_battery,bev,pv,current_demand,current_production,temp_residual,current_residual,home_battery_soc,electrical_storage_charge,electrical_storage_discharge,done,action,reward,bev_charge_flag,heatpump_flag,thermal_storage,th_soc,cost,specific_cost
0,18.2,0.0005992,0.11482890233492633,0.0,1,16.0,0.0,1.25,0.0005992,1.25,-1.2494008,-1.2494008,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,59.52610671530499,419171.8944612843,0.1,0.08
1,18.45,0.000515,0.11440535310500242,0.0,1,16.0,0.0,1.25,0.000515,1.25,-1.249485,-1.249485,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,59.05293908484441,418575.70324690396,0.1,0.08
2,18.7,0.00017846666666666665,0.11398180387507853,0.0,1,16.0,0.0,1.25,0.00017846666666666665,1.25,-1.2498215333333333,-1.2498215333333333,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,58.58049612596153,417980.4251187115,0.1,0.08
3,18.95,0.00023666666666666663,0.11355825464515462,0.0,0,15.75,0.0,1.25,0.00023666666666666663,1.25,-1.2497633333333333,-1.2497633333333333,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,58.10877685733021,417386.05884023604,0.1,0.08
4,19.2,0.0003802666666666666,0.11313470541523071,1.7112017181012835,0,15.5,0.0,1.25,1.71158198476795,1.25,0.4615819847679501,0.4615819847679501,0.0,0.0,0.0,True,2,0.49661658486972204,1,1,58.62850037170466,418040.91046834784,0.21539549619198753,0.1258458537825695
5,19.475,0.0016970666666666664,0.10913451824372714,1.7000392048166069,0,15.25,0.0,1.25,1.7017362714832736,1.25,0.45173627148327355,0.45173627148327355,0.0,0.0,0.0,True,2,0.4994898529483184,1,1,59.1483127069651,418695.874010776,0.2129340678708184,0.1251275367629204
6,19.75,0.0009609999999999999,0.10513433107222356,1.68896701299639,0,15.0,0.0,1.25,1.68992801299639,1.25,0.43992801299639006,0.43992801299639006,0.0,0.0,0.0,True,2,0.5029800047475843,1,1,59.66821374283336,419350.94931597,0.20998200324909752,0.12425499881310392
7,20.025,0.0005347333333333333,0.10113414390071997,1.677984451556959,0,14.75,0.0,1.25,1.6785191848902925,1.25,0.4285191848902925,0.4285191848902925,0.0,0.0,0.0,True,2,0.5063987398246841,1,1,60.188203359194006,420006.1362325844,0.20712979622257313,0.12340031504382899
8,20.3,0.0007231333333333333,0.09713395672921639,1.6670908301435499,0,14.5,0.0,1.25,1.6678139634768832,1.25,0.41781396347688315,0.41781396347688315,0.0,0.0,0.0,True,2,0.5096491686806659,1,1,60.70828143609424,420661.43460947875,0.2044534908692208,0.12258770782983353
9,20.425,0.0004100666666666667,0.09562800391170916,1.6621683991963856,0,14.25,0.0,1.25,1.6625784658630522,1.25,0.41257846586305225,0.41257846586305225,0.0,0.0,0.0,True,2,0.5112540655690263,1,1,61.22795363613568,421316.22158153093,0.20314461646576307,0.12218648360774344
10,20.55,0.00040773333333333334,0.09412205109420192,1.6572641371529266,0,14.0,0.0,1.25,1.65767187048626,1.25,0.4076718704862601,0.4076718704862601,0.0,0.0,0.0,True,2,0.5127673426410148,1,1,61.7472205089432,421970.4978412684,0.20191796762156503,0.12180816433974631
11,20.675,0.0005089333333333332,0.09261609827669469,1.652377979389051,0,13.75,0.0,1.25,1.6528869127223842,1.25,0.4028869127223842,0.4028869127223842,0.0,0.0,0.0,True,2,0.514251757611178,1,1,62.26608260339748,422624.2640802808,0.20072172818059605,0.12143706059720548
12,20.8,0.00032866666666666667,0.09111014545918746,1.647509861335026,0,13.5,0.0,1.25,1.6478385280016927,1.25,0.3978385280016927,0.3978385280016927,0.0,0.0,0.0,True,2,0.5158272400820615,1,1,62.78454046763585,423277.5209892211,0.1994596320004232,0.12104318997948463
13,20.875,0.00038206666666666667,0.08913358238620922,1.6445976227238577,0,13.25,0.0,1.25,1.6449796893905244,1.25,0.3949796893905244,0.3949796893905244,0.0,0.0,0.0,True,2,0.5167237051509921,1,1,63.30268789765864,423930.3867510499,0.1987449223476311,0.12081907371225196
14,20.950000000000003,0.00028366666666666666,0.08715701931323099,1.6416918412586103,0,13.0,0.0,1.25,1.641975507925277,1.25,0.3919755079252769,0.3919755079252769,0.0,0.0,0.0,True,2,0.5176691101038529,1,1,63.82052531384562,424582.86189544544,0.19799387698131923,0.12058272247403677
15,21.025000000000002,0.0005570000000000001,0.08518045624025275,1.638792503023311,0,12.75,0.0,1.25,1.639349503023311,1.25,0.38934950302331095,0.38934950302331095,0.0,0.0,0.0,True,2,0.518498342441571,1,1,64.33805313600709,425234.94695136894,0.19733737575582774,0.12037541438960724
16,21.1,0.00023386666666666667,0.08320389316727451,1.6358995941104084,0,12.5,0.0,1.25,1.636133460777075,1.25,0.386133460777075,0.386133460777075,0.0,0.0,0.0,True,2,0.5195175212640024,1,1,64.85527178338509,425886.64244706515,0.19653336519426876,0.12012061968399938
17,21.525000000000002,0.00021106666666666663,0.08113320804320207,1.6196272159509277,0,12.25,0.0,1.25,1.6198382826175943,1.25,0.3698382826175943,0.3698382826175943,0.0,0.0,0.0,True,2,-1.0,1,1,65.37220032437472,426537.9724087121,0.1924595706543986,0.11881406478638816
18,21.950000000000003,0.0003088666666666667,0.07906252291912963,1.6035583215725024,0,12.0,0.0,1.25,1.603867188239169,1.25,0.3538671882391691,0.3538671882391691,0.0,0.0,0.0,True,2,-1.0,1,1,65.88883915182839,427188.9373313038,0.18846679705979227,0.11750773283584878
19,22.375,0.000323,0.07699183779505718,1.587690398189279,0,11.75,0.0,1.25,1.588013398189279,1.25,0.338013398189279,0.338013398189279,0.0,0.0,0.0,True,2,-1.0,1,1,66.40518865806666,427839.53770916397,0.18450334954731976,0.11618500810994314
20,22.8,0.00027360000000000004,0.07492115267098473,0.0,0,11.5,0.0,1.0069659249141463,0.00027360000000000004,1.0069659249141463,-1.0066923249141462,-1.0066923249141462,0.0,0.0,0.0,True,0,-1.0,0,0,65.93052916212719,427241.46674428025,0.0805572739931317,0.08
21,22.675,0.0001212,0.07407405421113691,0.0,0,11.25,0.0,1.25,0.0001212,1.25,-1.2498788,-1.2498788,0.0,0.0,0.0,True,0,-1.0,0,0,65.45668028174475,426644.41715499834,0.1,0.08
22,22.55,0.00033053333333333336,0.0732269557512891,0.0,0,11.0,0.0,1.25,0.00033053333333333336,1.25,-1.2496694666666666,-1.2496694666666666,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,64.9836409192107,426048.38755820546,0.1,0.08
23,22.425,0.00035753333333333337,0.07237985729144127,0.0,0,10.75,0.0,1.25,0.00035753333333333337,1.25,-1.2496424666666666,-1.2496424666666666,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,64.51140997830299,425453.37657266174,0.1,0.08
24,22.3,0.00019146666666666667,0.07153275883159345,0.0,0,10.5,0.0,1.25,0.00019146666666666667,1.25,-1.2498085333333333,-1.2498085333333333,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,64.03998636428395,424859.3828189978,0.1,0.08
25,22.1,0.00017206666666666666,0.07059153832065143,0.0,0,10.25,0.0,1.25,0.00017206666666666666,1.25,-1.2498279333333333,-1.2498279333333333,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,63.569387633619556,424266.4284183606,0.1,0.08
26,21.9,0.00029660000000000005,0.06965031780970943,0.0,0,10.0,0.0,0.6690755210679534,0.00029660000000000005,0.6690755210679534,-0.6687789210679534,-0.6687789210679534,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,63.099612669280134,423674.51196329296,0.053526041685436274,0.08
27,21.7,0.00033939999999999996,0.06870909729876741,0.0,0,9.75,0.0,1.25,0.00033939999999999996,1.25,-1.2496606,-1.2496606,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,62.63066035574889,423083.6320482436,0.1,0.08
28,21.5,0.000157,0.06776787678782539,0.0,0,9.5,0.0,0.7466405364187302,0.000157,0.7466405364187302,-0.7464835364187302,-0.7464835364187302,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,62.162529579019576,422493.78726956464,0.05973124291349841,0.08
29,21.575,0.0010077333333333332,0.06969737883525653,0.0,0,9.25,0.0,1.25,0.0010077333333333332,1.25,-1.2489922666666666,-1.2489922666666666,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,61.694650410101985,421904.25951672846,0.1,0.08
30,21.65,0.0007109999999999999,0.07162688088268766,0.0,0,9.0,0.0,1.25,0.0007109999999999999,1.25,-1.249289,-1.249289,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,61.22702250827717,421315.0483604292,0.1,0.08
31,21.725,0.0010639333333333334,0.07355638293011879,0.0,0,8.75,0.0,1.181087784437089,0.0010639333333333334,1.181087784437089,-1.1800238511037557,-1.1800238511037557,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,60.759645533287596,420726.15337194235,0.09448702275496712,0.08
32,21.8,0.0007602,0.07548588497754993,0.0,0,8.5,0.0,0.5487410853257656,0.0007602,0.5487410853257656,-0.5479808853257656,-0.5479808853257656,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,60.292519145336655,420137.5741231241,0.04389928682606125,0.08
33,21.6,0.0005422000000000001,0.07680359369286877,0.0,0,8.25,0.0,0.20351602347641878,0.0005422000000000001,0.20351602347641878,-0.2029738234764188,-0.2029738234764188,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,59.825764228274465,419549.4629276258,0.016281281878113504,0.08
34,21.4,0.0009789333333333333,0.0781213024081876,0.0,0,8.0,0.0,0.3978033122372923,0.0009789333333333333,0.3978033122372923,-0.396824378903959,-0.396824378903959,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,59.359380279067636,418961.8191516252,0.031824264978983385,0.08
35,21.2,0.0006638666666666667,0.07943901112350642,0.0,0,7.75,0.0,0.2339674650934083,0.0006638666666666667,0.2339674650934083,-0.23330359842674162,-0.23330359842674162,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,58.89336679536382,418374.6421621584,0.018717397207472664,0.08
36,21.0,0.0007721333333333333,0.08075671983882525,0.0,0,7.5,0.0,0.25207389142959996,0.0007721333333333333,0.25207389142959996,-0.25130175809626665,-0.25130175809626665,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,58.42772327549096,417787.9313271186,0.020165911314368,0.08
37,20.9,0.0008642666666666668,0.08193324547750278,0.0,0,7.25,0.0,0.5103832568884944,0.0008642666666666668,0.5103832568884944,-0.5095189902218278,-0.5095189902218278,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,57.96247719303807,417201.7212632279,0.040830660551079555,0.08
38,20.8,0.0009496,0.0831097711161803,0.0,0,7.0,0.0,0.3524524055497716,0.0009496,0.3524524055497716,-0.3515028055497716,-0.3515028055497716,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,57.49762800980852,416616.0112923587,0.028196192443981728,0.08
39,20.700000000000003,0.00035466666666666676,0.08428629675485783,0.0,0,6.75,0.0,0.0639804542313727,0.00035466666666666676,0.0639804542313727,-0.06362578756470604,-0.06362578756470604,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,57.03317518833467,416030.80073730164,0.005118436338509816,0.08
40,20.6,0.00031613333333333334,0.08546282239353535,0.0,0,6.5,0.0,0.041957802954257176,0.00031613333333333334,0.041957802954257176,-0.04164166962092384,-0.04164166962092384,0.0,0.0,0.0,True,0,0.6799999999999999,0,0,56.56911819187661,415446.0889217645,0.003356624236340574,0.08
