,temperature,el_loadprofile,th_loadprofile,heatpump,bev_at_home,bev_battery,bev,pv,current_demand,current_production,temp_residual,current_residual,electrical_storage_charge,electrical_storage_discharge,done,action,reward,bev_charge_flag,heatpump_flag,thermal_storage,th_soc
0,12.9,0.0003684666666666666,0.04750065842898078,0.0,1,16.0,0,-0.0001,0.0003684666666666666,-0.0001,0.0,0.0004684666666666666,0,0,False,0,0.0,0,0,59.539447403845145,419188.7037288448
1,13.15,0.0002425333333333333,0.049762594544646536,3.962041777610853,1,16.0,0,-0.0001,3.9622843109441863,-0.0001,0.0,3.9623843109441865,0,0,False,1,0.0,0,1,61.06051042906421,421105.2431406209
2,13.4,0.00032366666666666666,0.05202453066031229,3.9378096988882945,1,16.0,0,-0.0001,3.938133365554961,-0.0001,0.0,3.9382333655549613,0,0,False,1,0.0,0,1,62.579065492333996,423018.62252034084
3,13.65,0.00016986666666666666,0.05428646677597804,3.9137515992934384,1,16.0,0,-0.0001,3.913921465960105,-0.0001,0.0,3.914021465960105,0,0,False,1,0.0,0,1,64.09511598985307,424928.8461472148
4,13.9,0.00038286666666666674,0.05654840289164379,3.8898665203973133,1,16.0,0,-0.0001,3.89024938706398,-0.0001,0.0,3.89034938706398,0,0,False,1,-1.0,0,1,65.60866531322074,426835.9182946581
5,13.75,0.0002948,0.06333421123864105,3.904176859211722,1,16.0,0,-0.0001,3.9044716592117217,-0.0001,0.0,3.904571659211722,0,0,False,1,-1.0,0,1,67.11882047123856,428738.7137937606
6,13.600000000000001,0.0002392666666666667,0.07012001958563831,3.9185493467621497,1,16.0,0,-0.0001,3.9187886134288163,-0.0001,0.0,3.9188886134288166,0,0,False,1,-1.0,0,1,68.62558606017205,430637.2384358168
7,13.450000000000001,0.00020866666666666665,0.07690582793263556,3.932984191183226,1,16.0,0,-0.0001,3.9331928578498925,-0.0001,0.0,3.9332928578498927,0,0,False,1,-1.0,0,1,70.12896667006271,432531.498004279
8,13.3,0.0003692666666666666,0.08369163627963282,3.9474815995053336,1,16.0,0,-0.0001,3.947850866172,-0.0001,0.0,3.9479508661720004,0,0,False,1,-1.0,0,1,71.62896688473626,434421.49827476765
9,13.350000000000001,0.00028186666666666667,0.10093889916158418,3.9426421657871766,1,16.0,0,-0.0001,3.9429240324538433,-0.0001,0.0,3.9430240324538435,0,0,False,1,-1.0,0,1,73.12351840721163,436304.63319308666
10,13.4,0.0001836666666666666,0.11818616204353555,3.9378096988882945,1,16.0,0,-0.0001,3.937993365554961,-0.0001,0.0,3.9380933655549613,0,0,False,1,-1.0,0,1,74.61262861592627,438180.9120560671
11,13.45,0.000287,0.1354334249254869,3.932984191183226,1,16.0,0,-0.0001,3.933271191183226,-0.0001,0.0,3.9333711911832263,0,0,False,1,-1.0,0,1,76.09630487932583,440050.3441479505
12,13.5,0.0001947333333333333,0.15268068780743826,3.9281656350321676,1,16.0,0,-0.0001,3.928360368365501,-0.0001,0.0,3.928460368365501,0,0,False,1,-1.0,0,1,77.57455455587797,441912.9387404062
